module_number,module_name,description
2233830,Organic Trace Analysis of Aqueous Samples,
4052081,Turbulent Diffusion,
4052082,Exercises to Turbulent Diffusion,
6020151,Fundamentals of Environmental Geodesy - Part B,
6026204,Geospatial Infrastructures and Web Services,
6026205,Geospatial Infrastructures and Web Services,
6111234,Ein Termin für die Vorbesprechung (mit Themenvergabe) wird rechtzeitig an die,
6220801,Protection and Use of Riverine Systems,
6310414,Preparatory Workshop,
6310416,General & Applied Hydrogeology,
6339078,Field Trip Karst Hydrogeology,
6211002,Seminar for Doctoral Researchers on Concrete Construction,
6212001,Steel Construction Seminar,
6212002,Seminar for Doctoral Researchers on Steel Structures,
6213002,Seminar for Doctoral Researchers on Timber Structures,
6214001,Seminar Structural Analysis,
6214002,Seminar for Doctoral Researchers on Structural Analysis,
6214003,Consultation Hour for Research Projects on Structural Analysis,
6215002,Seminar for Master Students and Doctoral Researchers on Mechanics,
6215003,Seminar on Guidance of Scientific Methodology,
6221001,Seminar for Doctoral Researchers and Research on Hydromechanics,
6223002,Seminar Water Supply and Sanitation II,
6224001,Seminar for Master Students and Doctoral Researchers on Hydrology,
6232001,Seminar for Doctoral Researchers and Colloquium,
6240002,Seminar for Doctoral Researchers,
6240004,Seminar Technology and Management in Construction,
6250001,Seminar Soil and Rock Mechanics,
0182000,Mathematik II (für Naturwissenschaftler),
0182100,Übungen zu 0182000 (Mathematik II (für Naturwissenschaftler)),
4040021,Experimentalphysik B für die Studiengänge Angew. Geowiss.,
4040122,Übungen zur Experimentalphysik B für die Studiengänge Angew. Geowiss.,
6310551,Geological Maps and Cross Sections,
6339011,Introduction to Earth History,
6310501,Crystal Chemistry and Crystallography,
6310555,Regional and Historical Geology,
6310556,Field Trip Regional and Historical Geology,
6310550,Field Exercises and Excursions,
6310553,Field Methods in Geology I,
6310560,Terrain Methods II,
6310570,Mineral Deposits,
6339062,Basics in Energy and Mineral Ressources,
6339097,Introduction to Paleontology,
4051111,Bitte melden Sie sich zum ILIAS-Kurs an,
4051112,Übungen zu Klimatologie,
2126782,Materials Science II for Industrial Engineers,
2126783,Tutorials in Materials Science II for Industrial Engineers,
0180100,Höhere Mathematik II für die Fachrichtung Elektrotechnik und,
6339044,Petrophysical-geothermal Seminar for Doctoral Students,
6310406,Field Exercise on Structural Geology,
6310425,Geothermics II: Application and Industrial Use,
6310426,Borehole Technology: Drilling,
6310427,Geothermics II: Geothermal Exploitation - Field Exercises (2 Days),
6310460,Geoscientific Field Exercise/Excursion/Master,
6310601,Field Seminar Reservoir-Geology,
6339014,Seismic and Sequence Stratigraphy,
6339093,Geological Storage of Gas,
6339094,Fundamentals of Reservoir Geomechanics,
4060431,Introduction to Reflection Seismics,
4060432,Exercises to Introduction to Reflection Seismics,
6310020,Applied Mapping,
6310399,Processing of Geospatial Data,
6310404,Engineering Geological Field Course,
6310405,Geochemical Element Cycling,
6310410,Analytical Geochemistry (Advanced Level),
6310411,Isotope Methods in Hydrologeology,
6310413,Numerical Modeling in Engineering Geology,
6310505,Geodata Analysis II - Big Data and Machine Learning,
6339041,Expert Discussion on Hydrogeology and Engineering Geology,
6339042,Field Trip Hydrogeology and Engineering Geology,
6339081,Hydraulic Methods,
6310407,Substance Flow in the Environment,
6310419,Material-damaging Reactions,
6310430,Applications of Clays and Laboratory Introduction,
6321410,Mineral Exploration,
6339089,Radiogeochemical Field Exercise and Radiogeochemical Seminar,
6339090,Mineralogical Analytics,
6339104,Rock Forming Processes,
6339108,Field Course,
4027021,Electron Microscopy II,
4027022,Exercises to Electron Microscopy II,
6339076,Isotope Geochemistry and Geochronology,
6310428,Mineral and Rock Physics,
6339083,Fundamentals of Project Management,
6310013,Introduction to Geohazard Analysis,
6339082,Project Study,
6320102,Reserve Modeling - Economic and Risk Evaluation,
6310044,Geochemistry and Economic Geology Seminar,
6310124,Economic Viability Assessment of Raw Material Projects,
6019402,Quantitative Earth System Science,
6020121,Surveying II,
6020122,Surveying Exercises II,
6020123,Fit for Studies and Work in Geodesy and Geoinformatics,
6020124,Main Survey Exercise I,
6020126,Programming II for Geodesists,
6020127,Programming for Geodesists,
6020128,Position Determination with GNSS,
6020129,Position Determination with GNSS,
6020011,Physical Models of Geodesy,
6020012,Physical Models of Geodesy,
6020141,Signal Processing in Geodesy,
6020142,Signal Processing in Geodesy,
6020143,Adjustment and Statistics,
6020144,Adjustment and Statistics,
6020145,Geodetic Reference Systems I,
6020146,Geodetic Reference Systems I,
6020147,Surveying Exercises III,
6020148,Main Survey Exercise II,
6020149,Geodetic Sensors and Measurement Technology II,
6020150,Geodetic Sensors and Measurement Technology II,
6020241,Remote Sensing Systems,
6020242,Remote Sensing Systems,
6020243,Procedures of Remote Sensing,
6020244,Procedures of Remote Sensing,
6020245,Project Exercise Applied Remote Sensing,
6020163,Figure and Gravity Potential of the Earth,
6020164,Figure and Gravity Potential of the Earth,
6020165,Practical course (P),
6020166,Geodesy & Geoinformatics Seminar,
6020261,Geoinformatics III,
6020262,Geoinformatics III,
6020268,Basics in Photogrammetry and Computer Vision II,
6020269,Basics in Photogrammetry and Computer Vision II,
6020840,Seminar Master Theses,
6021202,Position Determination,
6021203,Position Determination,
6021204,Geoinformatics (Part B),
6021205,Geoinformatics (Part B),
6021206,Estimation Theory and Data Analysis in Geoscience Remote Sensing Projects,
6041201,Sensor Technology and Data Analysis in Computer Vision and Remote Sensing,
6024205,1. Semesterhälfte,
6024206,Exercices Monitoring,
6022205,Geoinformatics (Part B),
6022206,Geoinformatics (Part B),
6021207,Estimation Theory and Data Analysis in Geoscience Remote Sensing Projects,
6041201,Sensor Technology and Data Analysis in Computer Vision and Remote,
6043201,Statistical Pattern Recognition and Knowledge-based Image Analysis,
6043202,Statistical Pattern Recognition and Knowledge-based Image Analysis,
6025201,SAR and InSAR Remote Sensing,
6025202,SAR and InSAR Remote Sensing,
6026202,3D/4D GIS,
6026203,Project Geoinformatics,
6043212,Tomographic Laser- and Radar Sensing,
6043213,Tomographic Laser- and Radar Sensing,
6024208,Geometric Object Modeling in 2D,
6024209,Geometric Object Modeling in 2D,
6026201,3D/4D GIS,
6026207,Mobile GIS/Location Based Services,
6043106,Satellite Climatology: Remote Sensing of a Changing Climate,
6043107,Satellite Climatology: Remote Sensing of a Changing Climate,
6043205,Active Sensors for Computer Vision,
6043207,Visualization of Geodatas in 2D,
6043215,Terrestrial Laser Scanning,
6043216,Terrestrial Laser Scanning,
6020252,Seminar Remote Sensing and Geoinformatics,
6041202,Deep Learning for Computer Vision and Remote Sensing,
6026206,Mobile GIS/Location Based Services,
6043202,Statistical Pattern Recognition and Knowledge-based Image Analysis,
6043203,Industrial Image Processing and Machine Vision,
6043204,Industrial Image Processing and Machine Vision,
6043206,Visualization of Geodata in 2D,
6041203,Deep Learning for Computer Vision and Remote Sensing,
6020880,Graduate Seminar in Physical and Satellite Geodesy,
6072201,Basics of Geographic Information Systems for Modeling and Planning,
6072202,Exercises Basics of Geographic Information Systems for Modeling and Planning,
6026208,Advanced Analysis in GIS,
6020250,Remote Sensing of Aerosols and Clouds,
6020247,Atmospheric Remote Sensing Infrastructures,
6022208,Basics of Estimation Theory,
6042201,Sensors and Signals in Computer Vision and Remote Sensing,
6048210,Atmospheric Spectroscopy and Middle Atmospheric Research - Atmospheric,
6111038,Measurement Techniques in Climatology,
6111051,Vegetation Science,
6111055,Field Course Vegetation Science,
6111056,Field Course Vegetation Science,
6111071,Soils of Europe,
6111077,Field Course Soil Science (Geoecology),
6111078,Field Course Soil Science (Geoecology),
6111271,Zoology Field Trips,
6111272,Field Course Zoology,
6111281,Plant Identification Course,
6111291,Practical Site and Soil Assessment,
6111292,Applied Ecology,
6111438,Nature Conservation,
6328034,Regional Planning and Planning Law,
6111049,Introduction to R,
6111086,Geographic Information Systems (GIS),
6111087,Geographic Information Systems (GIS),
6111406,Soil Science Laboratory,
6310012,Soil Mineralogy Practical Course,
6310036,Environmental Analytics,
6310037,Environmental Analytics (Field and Lab Course),
6111202,Vegetation Mapping and Vegetation Recording,
6111236,Methods of Environmental Research 3,
6111320,Ecophysiology of Plants in Climate Change,
6111196,Isotope Methods,
6111220,Excursion Geoecology,
6111199,Research Project in Soil Science,
6111209,Research Project in Vegetation Science,
6111239,Research Project Wetlands,
6111349,Research Project in Climate Impact (Summer School: Land Use and Ecosystem,
6111101,Empirical Social Research,
6111213,Urban Ecology,
6111243,Biotope Types including Field Trips,
6111304,Project Seminar Part 2: Allotment Gardens in the Big City,
6111305,Project Seminar Part 1: Work in Motion - On the Biographies and Practices of,
6111332,Planning Tools in Nature Conservation - Landscape Conservation Plan in Use,
6111141,Soil Sciences Field Trip,
6111006,General Human Geography,
6111021,Economy and Globalization,
6111131,Regional Field Trip: Nördlingen,
6111132,Regional Field Trip: Eurodistrict Strasbourg - Ortenau,
6111007,General Human Geography,
6111091,Practical Course: „Rastatter Rheinaue“,
6111092,Practical Course: Karlsruhe - Ecology of the Urban Trees,
6111108,Field Trip Karlsruhe,
6111109,Field Trip Karlsruhe,
6111111,Subject Didactics 1,
6111116,Subject Didactics 2,
6111151,Preparatory Seminar Spain,
6111152,Excursion Spain,
6111303,Cultural Geography,
6111121,Subject Didactics Master,
6111126,Geography Didactics Research Workshop,
6111382,Graduate Seminar Vegetation,
6111383,Graduate Seminar Ground,
6111384,Graduate Seminar in Floodplain Ecology,
6111385,Graduate Seminar in Human Geography,
6111999,Seminar Geography,
6328001,Municipal Planning,
6328012,Evaluation of Field Research Data,
6328027,Project Seminar,
6328029,Planning Workshop,
6328037,Tools for Urban Research,
6328031,Guidance on Scientific Methodology,
6221814,Introduction to Hydromechanics,
6221816,Exercises Introduction to Hydromechanics,
0180100,Höhere Mathematik II für die Fachrichtung Elektrotechnik und Informationstechnik,
0181300,Advanced Mathematics 2 for the Functional Direction Civil Engineering: Differential,
0181400,Practice to Advanced Mathematics 2 for the Functional Direction Civil Engineering:,
0181600,Advanced Mathematics 4 for the Functional Direction Civil Engineering: Partial,
0181700,Exercises to Advanced Mathematics 4 for the Functional Direction Civil Engineering:,
0198135,Tutorial to Advanced Mathematics 2 for the Functional Direction Civil Engineering:,
